,name,alias,data_collection,enrich_name,enrich_field_name,description,vintage,units
26,AGE26_CY,2024 Population Age 26,1yearincrements,1yearincrements.AGE26_CY,F1yearincrements_AGE26_CY,2024 Total Population Age 26 (Esri),2024,count
28,AGE28_CY,2024 Population Age 28,1yearincrements,1yearincrements.AGE28_CY,F1yearincrements_AGE28_CY,2024 Total Population Age 28 (Esri),2024,count
29,AGE29_CY,2024 Population Age 29,1yearincrements,1yearincrements.AGE29_CY,F1yearincrements_AGE29_CY,2024 Total Population Age 29 (Esri),2024,count
0,AGE0_CY,2024 Population Age <1,1yearincrements,1yearincrements.AGE0_CY,F1yearincrements_AGE0_CY,2024 Total Population Age <1 (Esri),2024,count
1,AGE1_CY,2024 Population Age 1,1yearincrements,1yearincrements.AGE1_CY,F1yearincrements_AGE1_CY,2024 Total Population Age 1 (Esri),2024,count
6,AGE6_CY,2024 Population Age 6,1yearincrements,1yearincrements.AGE6_CY,F1yearincrements_AGE6_CY,2024 Total Population Age 6 (Esri),2024,count
30,AGE30_CY,2024 Population Age 30,1yearincrements,1yearincrements.AGE30_CY,F1yearincrements_AGE30_CY,2024 Total Population Age 30 (Esri),2024,count
31,AGE31_CY,2024 Population Age 31,1yearincrements,1yearincrements.AGE31_CY,F1yearincrements_AGE31_CY,2024 Total Population Age 31 (Esri),2024,count
7,AGE7_CY,2024 Population Age 7,1yearincrements,1yearincrements.AGE7_CY,F1yearincrements_AGE7_CY,2024 Total Population Age 7 (Esri),2024,count
33,AGE33_CY,2024 Population Age 33,1yearincrements,1yearincrements.AGE33_CY,F1yearincrements_AGE33_CY,2024 Total Population Age 33 (Esri),2024,count
34,AGE34_CY,2024 Population Age 34,1yearincrements,1yearincrements.AGE34_CY,F1yearincrements_AGE34_CY,2024 Total Population Age 34 (Esri),2024,count
35,AGE35_CY,2024 Population Age 35,1yearincrements,1yearincrements.AGE35_CY,F1yearincrements_AGE35_CY,2024 Total Population Age 35 (Esri),2024,count
36,AGE36_CY,2024 Population Age 36,1yearincrements,1yearincrements.AGE36_CY,F1yearincrements_AGE36_CY,2024 Total Population Age 36 (Esri),2024,count
8,AGE8_CY,2024 Population Age 8,1yearincrements,1yearincrements.AGE8_CY,F1yearincrements_AGE8_CY,2024 Total Population Age 8 (Esri),2024,count
38,AGE38_CY,2024 Population Age 38,1yearincrements,1yearincrements.AGE38_CY,F1yearincrements_AGE38_CY,2024 Total Population Age 38 (Esri),2024,count
43,AGE43_CY,2024 Population Age 43,1yearincrements,1yearincrements.AGE43_CY,F1yearincrements_AGE43_CY,2024 Total Population Age 43 (Esri),2024,count
44,AGE44_CY,2024 Population Age 44,1yearincrements,1yearincrements.AGE44_CY,F1yearincrements_AGE44_CY,2024 Total Population Age 44 (Esri),2024,count
45,AGE45_CY,2024 Population Age 45,1yearincrements,1yearincrements.AGE45_CY,F1yearincrements_AGE45_CY,2024 Total Population Age 45 (Esri),2024,count
9,AGE9_CY,2024 Population Age 9,1yearincrements,1yearincrements.AGE9_CY,F1yearincrements_AGE9_CY,2024 Total Population Age 9 (Esri),2024,count
46,AGE46_CY,2024 Population Age 46,1yearincrements,1yearincrements.AGE46_CY,F1yearincrements_AGE46_CY,2024 Total Population Age 46 (Esri),2024,count
47,AGE47_CY,2024 Population Age 47,1yearincrements,1yearincrements.AGE47_CY,F1yearincrements_AGE47_CY,2024 Total Population Age 47 (Esri),2024,count
48,AGE48_CY,2024 Population Age 48,1yearincrements,1yearincrements.AGE48_CY,F1yearincrements_AGE48_CY,2024 Total Population Age 48 (Esri),2024,count
49,AGE49_CY,2024 Population Age 49,1yearincrements,1yearincrements.AGE49_CY,F1yearincrements_AGE49_CY,2024 Total Population Age 49 (Esri),2024,count
50,AGE50_CY,2024 Population Age 50,1yearincrements,1yearincrements.AGE50_CY,F1yearincrements_AGE50_CY,2024 Total Population Age 50 (Esri),2024,count
51,AGE51_CY,2024 Population Age 51,1yearincrements,1yearincrements.AGE51_CY,F1yearincrements_AGE51_CY,2024 Total Population Age 51 (Esri),2024,count
53,AGE53_CY,2024 Population Age 53,1yearincrements,1yearincrements.AGE53_CY,F1yearincrements_AGE53_CY,2024 Total Population Age 53 (Esri),2024,count
54,AGE54_CY,2024 Population Age 54,1yearincrements,1yearincrements.AGE54_CY,F1yearincrements_AGE54_CY,2024 Total Population Age 54 (Esri),2024,count
55,AGE55_CY,2024 Population Age 55,1yearincrements,1yearincrements.AGE55_CY,F1yearincrements_AGE55_CY,2024 Total Population Age 55 (Esri),2024,count
56,AGE56_CY,2024 Population Age 56,1yearincrements,1yearincrements.AGE56_CY,F1yearincrements_AGE56_CY,2024 Total Population Age 56 (Esri),2024,count
57,AGE57_CY,2024 Population Age 57,1yearincrements,1yearincrements.AGE57_CY,F1yearincrements_AGE57_CY,2024 Total Population Age 57 (Esri),2024,count
58,AGE58_CY,2024 Population Age 58,1yearincrements,1yearincrements.AGE58_CY,F1yearincrements_AGE58_CY,2024 Total Population Age 58 (Esri),2024,count
59,AGE59_CY,2024 Population Age 59,1yearincrements,1yearincrements.AGE59_CY,F1yearincrements_AGE59_CY,2024 Total Population Age 59 (Esri),2024,count
52,AGE52_CY,2024 Population Age 52,1yearincrements,1yearincrements.AGE52_CY,F1yearincrements_AGE52_CY,2024 Total Population Age 52 (Esri),2024,count
12,AGE12_CY,2024 Population Age 12,1yearincrements,1yearincrements.AGE12_CY,F1yearincrements_AGE12_CY,2024 Total Population Age 12 (Esri),2024,count
60,AGE60_CY,2024 Population Age 60,1yearincrements,1yearincrements.AGE60_CY,F1yearincrements_AGE60_CY,2024 Total Population Age 60 (Esri),2024,count
61,AGE61_CY,2024 Population Age 61,1yearincrements,1yearincrements.AGE61_CY,F1yearincrements_AGE61_CY,2024 Total Population Age 61 (Esri),2024,count
62,AGE62_CY,2024 Population Age 62,1yearincrements,1yearincrements.AGE62_CY,F1yearincrements_AGE62_CY,2024 Total Population Age 62 (Esri),2024,count
63,AGE63_CY,2024 Population Age 63,1yearincrements,1yearincrements.AGE63_CY,F1yearincrements_AGE63_CY,2024 Total Population Age 63 (Esri),2024,count
64,AGE64_CY,2024 Population Age 64,1yearincrements,1yearincrements.AGE64_CY,F1yearincrements_AGE64_CY,2024 Total Population Age 64 (Esri),2024,count
65,AGE65_CY,2024 Population Age 65,1yearincrements,1yearincrements.AGE65_CY,F1yearincrements_AGE65_CY,2024 Total Population Age 65 (Esri),2024,count
66,AGE66_CY,2024 Population Age 66,1yearincrements,1yearincrements.AGE66_CY,F1yearincrements_AGE66_CY,2024 Total Population Age 66 (Esri),2024,count
8261,MP12244a_B,2024 Purchased Groceries Online: Home Delivery,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12244a_B,GroceryAlcoholicBeverages_MP12244a_B,2024 Purchased Groceries Online: Home Delivery,2024,count
8262,MP12244a_I,2024 Index: Purchased Groceries Online: Home Delivery,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12244a_I,GroceryAlcoholicBeverages_MP12244a_I,2024 Purchased Groceries Online: Home Delivery: Index,2024,count
8263,MP12245a_B,2024 Purchased Groceries Online: Curbside Pickup,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12245a_B,GroceryAlcoholicBeverages_MP12245a_B,2024 Purchased Groceries Online: Curbside Pickup,2024,count
8264,MP12245a_I,2024 Index: Purchased Groceries Online: Curbside Pickup,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12245a_I,GroceryAlcoholicBeverages_MP12245a_I,2024 Purchased Groceries Online: Curbside Pickup: Index,2024,count
8265,MP12246a_B,2024 Purchased Groceries Online: In-Store Pickup,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12246a_B,GroceryAlcoholicBeverages_MP12246a_B,2024 Purchased Groceries Online: In-Store Pickup,2024,count
8266,MP12246a_I,2024 Index: Purchased Groceries Online: In-Store Pickup,GroceryAlcoholicBeverages,GroceryAlcoholicBeverages.MP12246a_I,GroceryAlcoholicBeverages_MP12246a_I,2024 Purchased Groceries Online: In-Store Pickup: Index,2024,count
70,AGE70_CY,2024 Population Age 70,1yearincrements,1yearincrements.AGE70_CY,F1yearincrements_AGE70_CY,2024 Total Population Age 70 (Esri),2024,count
15,AGE15_CY,2024 Population Age 15,1yearincrements,1yearincrements.AGE15_CY,F1yearincrements_AGE15_CY,2024 Total Population Age 15 (Esri),2024,count
71,AGE71_CY,2024 Population Age 71,1yearincrements,1yearincrements.AGE71_CY,F1yearincrements_AGE71_CY,2024 Total Population Age 71 (Esri),2024,count
72,AGE72_CY,2024 Population Age 72,1yearincrements,1yearincrements.AGE72_CY,F1yearincrements_AGE72_CY,2024 Total Population Age 72 (Esri),2024,count
74,AGE74_CY,2024 Population Age 74,1yearincrements,1yearincrements.AGE74_CY,F1yearincrements_AGE74_CY,2024 Total Population Age 74 (Esri),2024,count
75,AGE75_CY,2024 Population Age 75,1yearincrements,1yearincrements.AGE75_CY,F1yearincrements_AGE75_CY,2024 Total Population Age 75 (Esri),2024,count
76,AGE76_CY,2024 Population Age 76,1yearincrements,1yearincrements.AGE76_CY,F1yearincrements_AGE76_CY,2024 Total Population Age 76 (Esri),2024,count
78,AGE78_CY,2024 Population Age 78,1yearincrements,1yearincrements.AGE78_CY,F1yearincrements_AGE78_CY,2024 Total Population Age 78 (Esri),2024,count
79,AGE79_CY,2024 Population Age 79,1yearincrements,1yearincrements.AGE79_CY,F1yearincrements_AGE79_CY,2024 Total Population Age 79 (Esri),2024,count
80,AGE80_CY,2024 Population Age 80,1yearincrements,1yearincrements.AGE80_CY,F1yearincrements_AGE80_CY,2024 Total Population Age 80 (Esri),2024,count
81,AGE81_CY,2024 Population Age 81,1yearincrements,1yearincrements.AGE81_CY,F1yearincrements_AGE81_CY,2024 Total Population Age 81 (Esri),2024,count
17,AGE17_CY,2024 Population Age 17,1yearincrements,1yearincrements.AGE17_CY,F1yearincrements_AGE17_CY,2024 Total Population Age 17 (Esri),2024,count
82,AGE82_CY,2024 Population Age 82,1yearincrements,1yearincrements.AGE82_CY,F1yearincrements_AGE82_CY,2024 Total Population Age 82 (Esri),2024,count
83,AGE83_CY,2024 Population Age 83,1yearincrements,1yearincrements.AGE83_CY,F1yearincrements_AGE83_CY,2024 Total Population Age 83 (Esri),2024,count
84,AGE84_CY,2024 Population Age 84,1yearincrements,1yearincrements.AGE84_CY,F1yearincrements_AGE84_CY,2024 Total Population Age 84 (Esri),2024,count
85,MAGE0_CY,2024 Males Age <1,1yearincrements,1yearincrements.MAGE0_CY,F1yearincrements_MAGE0_CY,2024 Male Population Age <1 (Esri),2024,count
86,MAGE1_CY,2024 Males Age 1,1yearincrements,1yearincrements.MAGE1_CY,F1yearincrements_MAGE1_CY,2024 Male Population Age 1 (Esri),2024,count
87,MAGE2_CY,2024 Males Age 2,1yearincrements,1yearincrements.MAGE2_CY,F1yearincrements_MAGE2_CY,2024 Male Population Age 2 (Esri),2024,count
88,MAGE3_CY,2024 Males Age 3,1yearincrements,1yearincrements.MAGE3_CY,F1yearincrements_MAGE3_CY,2024 Male Population Age 3 (Esri),2024,count
91,MAGE6_CY,2024 Males Age 6,1yearincrements,1yearincrements.MAGE6_CY,F1yearincrements_MAGE6_CY,2024 Male Population Age 6 (Esri),2024,count
92,MAGE7_CY,2024 Males Age 7,1yearincrements,1yearincrements.MAGE7_CY,F1yearincrements_MAGE7_CY,2024 Male Population Age 7 (Esri),2024,count
93,MAGE8_CY,2024 Males Age 8,1yearincrements,1yearincrements.MAGE8_CY,F1yearincrements_MAGE8_CY,2024 Male Population Age 8 (Esri),2024,count
94,MAGE9_CY,2024 Males Age 9,1yearincrements,1yearincrements.MAGE9_CY,F1yearincrements_MAGE9_CY,2024 Male Population Age 9 (Esri),2024,count
95,MAGE10_CY,2024 Males Age 10,1yearincrements,1yearincrements.MAGE10_CY,F1yearincrements_MAGE10_CY,2024 Male Population Age 10 (Esri),2024,count
96,MAGE11_CY,2024 Males Age 11,1yearincrements,1yearincrements.MAGE11_CY,F1yearincrements_MAGE11_CY,2024 Male Population Age 11 (Esri),2024,count
98,MAGE13_CY,2024 Males Age 13,1yearincrements,1yearincrements.MAGE13_CY,F1yearincrements_MAGE13_CY,2024 Male Population Age 13 (Esri),2024,count
99,MAGE14_CY,2024 Males Age 14,1yearincrements,1yearincrements.MAGE14_CY,F1yearincrements_MAGE14_CY,2024 Male Population Age 14 (Esri),2024,count
100,MAGE15_CY,2024 Males Age 15,1yearincrements,1yearincrements.MAGE15_CY,F1yearincrements_MAGE15_CY,2024 Male Population Age 15 (Esri),2024,count
101,MAGE16_CY,2024 Males Age 16,1yearincrements,1yearincrements.MAGE16_CY,F1yearincrements_MAGE16_CY,2024 Male Population Age 16 (Esri),2024,count
103,MAGE18_CY,2024 Males Age 18,1yearincrements,1yearincrements.MAGE18_CY,F1yearincrements_MAGE18_CY,2024 Male Population Age 18 (Esri),2024,count
104,MAGE19_CY,2024 Males Age 19,1yearincrements,1yearincrements.MAGE19_CY,F1yearincrements_MAGE19_CY,2024 Male Population Age 19 (Esri),2024,count
21,AGE21_CY,2024 Population Age 21,1yearincrements,1yearincrements.AGE21_CY,F1yearincrements_AGE21_CY,2024 Total Population Age 21 (Esri),2024,count
106,MAGE21_CY,2024 Males Age 21,1yearincrements,1yearincrements.MAGE21_CY,F1yearincrements_MAGE21_CY,2024 Male Population Age 21 (Esri),2024,count
108,MAGE23_CY,2024 Males Age 23,1yearincrements,1yearincrements.MAGE23_CY,F1yearincrements_MAGE23_CY,2024 Male Population Age 23 (Esri),2024,count
109,MAGE24_CY,2024 Males Age 24,1yearincrements,1yearincrements.MAGE24_CY,F1yearincrements_MAGE24_CY,2024 Male Population Age 24 (Esri),2024,count
110,MAGE25_CY,2024 Males Age 25,1yearincrements,1yearincrements.MAGE25_CY,F1yearincrements_MAGE25_CY,2024 Male Population Age 25 (Esri),2024,count
22,AGE22_CY,2024 Population Age 22,1yearincrements,1yearincrements.AGE22_CY,F1yearincrements_AGE22_CY,2024 Total Population Age 22 (Esri),2024,count
111,MAGE26_CY,2024 Males Age 26,1yearincrements,1yearincrements.MAGE26_CY,F1yearincrements_MAGE26_CY,2024 Male Population Age 26 (Esri),2024,count
113,MAGE28_CY,2024 Males Age 28,1yearincrements,1yearincrements.MAGE28_CY,F1yearincrements_MAGE28_CY,2024 Male Population Age 28 (Esri),2024,count
114,MAGE29_CY,2024 Males Age 29,1yearincrements,1yearincrements.MAGE29_CY,F1yearincrements_MAGE29_CY,2024 Male Population Age 29 (Esri),2024,count
115,MAGE30_CY,2024 Males Age 30,1yearincrements,1yearincrements.MAGE30_CY,F1yearincrements_MAGE30_CY,2024 Male Population Age 30 (Esri),2024,count
23,AGE23_CY,2024 Population Age 23,1yearincrements,1yearincrements.AGE23_CY,F1yearincrements_AGE23_CY,2024 Total Population Age 23 (Esri),2024,count
116,MAGE31_CY,2024 Males Age 31,1yearincrements,1yearincrements.MAGE31_CY,F1yearincrements_MAGE31_CY,2024 Male Population Age 31 (Esri),2024,count
117,MAGE32_CY,2024 Males Age 32,1yearincrements,1yearincrements.MAGE32_CY,F1yearincrements_MAGE32_CY,2024 Male Population Age 32 (Esri),2024,count
119,MAGE34_CY,2024 Males Age 34,1yearincrements,1yearincrements.MAGE34_CY,F1yearincrements_MAGE34_CY,2024 Male Population Age 34 (Esri),2024,count
120,MAGE35_CY,2024 Males Age 35,1yearincrements,1yearincrements.MAGE35_CY,F1yearincrements_MAGE35_CY,2024 Male Population Age 35 (Esri),2024,count
24,AGE24_CY,2024 Population Age 24,1yearincrements,1yearincrements.AGE24_CY,F1yearincrements_AGE24_CY,2024 Total Population Age 24 (Esri),2024,count
121,MAGE36_CY,2024 Males Age 36,1yearincrements,1yearincrements.MAGE36_CY,F1yearincrements_MAGE36_CY,2024 Male Population Age 36 (Esri),2024,count
122,MAGE37_CY,2024 Males Age 37,1yearincrements,1yearincrements.MAGE37_CY,F1yearincrements_MAGE37_CY,2024 Male Population Age 37 (Esri),2024,count
123,MAGE38_CY,2024 Males Age 38,1yearincrements,1yearincrements.MAGE38_CY,F1yearincrements_MAGE38_CY,2024 Male Population Age 38 (Esri),2024,count
124,MAGE39_CY,2024 Males Age 39,1yearincrements,1yearincrements.MAGE39_CY,F1yearincrements_MAGE39_CY,2024 Male Population Age 39 (Esri),2024,count
125,MAGE40_CY,2024 Males Age 40,1yearincrements,1yearincrements.MAGE40_CY,F1yearincrements_MAGE40_CY,2024 Male Population Age 40 (Esri),2024,count
126,MAGE41_CY,2024 Males Age 41,1yearincrements,1yearincrements.MAGE41_CY,F1yearincrements_MAGE41_CY,2024 Male Population Age 41 (Esri),2024,count
128,MAGE43_CY,2024 Males Age 43,1yearincrements,1yearincrements.MAGE43_CY,F1yearincrements_MAGE43_CY,2024 Male Population Age 43 (Esri),2024,count
129,MAGE44_CY,2024 Males Age 44,1yearincrements,1yearincrements.MAGE44_CY,F1yearincrements_MAGE44_CY,2024 Male Population Age 44 (Esri),2024,count
130,MAGE45_CY,2024 Males Age 45,1yearincrements,1yearincrements.MAGE45_CY,F1yearincrements_MAGE45_CY,2024 Male Population Age 45 (Esri),2024,count
131,MAGE46_CY,2024 Males Age 46,1yearincrements,1yearincrements.MAGE46_CY,F1yearincrements_MAGE46_CY,2024 Male Population Age 46 (Esri),2024,count
127,MAGE42_CY,2024 Males Age 42,1yearincrements,1yearincrements.MAGE42_CY,F1yearincrements_MAGE42_CY,2024 Male Population Age 42 (Esri),2024,count
133,MAGE48_CY,2024 Males Age 48,1yearincrements,1yearincrements.MAGE48_CY,F1yearincrements_MAGE48_CY,2024 Male Population Age 48 (Esri),2024,count
134,MAGE49_CY,2024 Males Age 49,1yearincrements,1yearincrements.MAGE49_CY,F1yearincrements_MAGE49_CY,2024 Male Population Age 49 (Esri),2024,count
135,MAGE50_CY,2024 Males Age 50,1yearincrements,1yearincrements.MAGE50_CY,F1yearincrements_MAGE50_CY,2024 Male Population Age 50 (Esri),2024,count
27,AGE27_CY,2024 Population Age 27,1yearincrements,1yearincrements.AGE27_CY,F1yearincrements_AGE27_CY,2024 Total Population Age 27 (Esri),2024,count
132,MAGE47_CY,2024 Males Age 47,1yearincrements,1yearincrements.MAGE47_CY,F1yearincrements_MAGE47_CY,2024 Male Population Age 47 (Esri),2024,count
138,MAGE53_CY,2024 Males Age 53,1yearincrements,1yearincrements.MAGE53_CY,F1yearincrements_MAGE53_CY,2024 Male Population Age 53 (Esri),2024,count
139,MAGE54_CY,2024 Males Age 54,1yearincrements,1yearincrements.MAGE54_CY,F1yearincrements_MAGE54_CY,2024 Male Population Age 54 (Esri),2024,count
136,MAGE51_CY,2024 Males Age 51,1yearincrements,1yearincrements.MAGE51_CY,F1yearincrements_MAGE51_CY,2024 Male Population Age 51 (Esri),2024,count
141,MAGE56_CY,2024 Males Age 56,1yearincrements,1yearincrements.MAGE56_CY,F1yearincrements_MAGE56_CY,2024 Male Population Age 56 (Esri),2024,count
142,MAGE57_CY,2024 Males Age 57,1yearincrements,1yearincrements.MAGE57_CY,F1yearincrements_MAGE57_CY,2024 Male Population Age 57 (Esri),2024,count
143,MAGE58_CY,2024 Males Age 58,1yearincrements,1yearincrements.MAGE58_CY,F1yearincrements_MAGE58_CY,2024 Male Population Age 58 (Esri),2024,count
144,MAGE59_CY,2024 Males Age 59,1yearincrements,1yearincrements.MAGE59_CY,F1yearincrements_MAGE59_CY,2024 Male Population Age 59 (Esri),2024,count
145,MAGE60_CY,2024 Males Age 60,1yearincrements,1yearincrements.MAGE60_CY,F1yearincrements_MAGE60_CY,2024 Male Population Age 60 (Esri),2024,count
146,MAGE61_CY,2024 Males Age 61,1yearincrements,1yearincrements.MAGE61_CY,F1yearincrements_MAGE61_CY,2024 Male Population Age 61 (Esri),2024,count
147,MAGE62_CY,2024 Males Age 62,1yearincrements,1yearincrements.MAGE62_CY,F1yearincrements_MAGE62_CY,2024 Male Population Age 62 (Esri),2024,count
140,MAGE55_CY,2024 Males Age 55,1yearincrements,1yearincrements.MAGE55_CY,F1yearincrements_MAGE55_CY,2024 Male Population Age 55 (Esri),2024,count
149,MAGE64_CY,2024 Males Age 64,1yearincrements,1yearincrements.MAGE64_CY,F1yearincrements_MAGE64_CY,2024 Male Population Age 64 (Esri),2024,count
150,MAGE65_CY,2024 Males Age 65,1yearincrements,1yearincrements.MAGE65_CY,F1yearincrements_MAGE65_CY,2024 Male Population Age 65 (Esri),2024,count
151,MAGE66_CY,2024 Males Age 66,1yearincrements,1yearincrements.MAGE66_CY,F1yearincrements_MAGE66_CY,2024 Male Population Age 66 (Esri),2024,count
152,MAGE67_CY,2024 Males Age 67,1yearincrements,1yearincrements.MAGE67_CY,F1yearincrements_MAGE67_CY,2024 Male Population Age 67 (Esri),2024,count
148,MAGE63_CY,2024 Males Age 63,1yearincrements,1yearincrements.MAGE63_CY,F1yearincrements_MAGE63_CY,2024 Male Population Age 63 (Esri),2024,count
154,MAGE69_CY,2024 Males Age 69,1yearincrements,1yearincrements.MAGE69_CY,F1yearincrements_MAGE69_CY,2024 Male Population Age 69 (Esri),2024,count
155,MAGE70_CY,2024 Males Age 70,1yearincrements,1yearincrements.MAGE70_CY,F1yearincrements_MAGE70_CY,2024 Male Population Age 70 (Esri),2024,count
156,MAGE71_CY,2024 Males Age 71,1yearincrements,1yearincrements.MAGE71_CY,F1yearincrements_MAGE71_CY,2024 Male Population Age 71 (Esri),2024,count
157,MAGE72_CY,2024 Males Age 72,1yearincrements,1yearincrements.MAGE72_CY,F1yearincrements_MAGE72_CY,2024 Male Population Age 72 (Esri),2024,count
